City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Portland,US,77.63,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
10,Koroni,GR,82.08,clear sky,36.8,21.95,Apartments Xenios Zeus 1
17,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
23,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
30,Dhule,IN,76.64,overcast clouds,20.9,74.7833,Hotel Dwarkamai
32,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Rive-De-Gier,FR,78.73,broken clouds,45.5307,4.6213,B&B Ebeniste
37,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.0833,Scoop Guest House
38,Melenci,RS,76.73,clear sky,45.5139,20.3172,Motel Lipov Cvet
55,Araripina,BR,75.47,overcast clouds,-7.5761,-40.4983,Hotel Eco Recanto da Serra
56,Bajil,YE,88.84,clear sky,15.0584,43.2851,فندق حضرموت
62,Butaritari,KI,80.67,light rain,3.0707,172.7902,Isles Sunset Lodge
63,North Bend,US,77.23,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
65,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
66,Bubaque,GW,78.01,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
70,Kathu,TH,85.75,light rain,7.9178,98.3332,Novotel Phuket Resort
71,Tura,IN,75.04,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
72,Kirakira,SB,79.9,broken clouds,-10.4544,161.9205,SanBiz Lodge
73,Sokoni,TZ,75.36,clear sky,-6.4333,39.55,Ujamaa Beach Resort
76,Jamestown,US,85.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
82,Tiquisio,CO,82.0,overcast clouds,8.5597,-74.2669,Luis Florez
92,Porto Novo,BJ,75.65,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
94,Katsuura,JP,78.3,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
96,Sao Felix Do Xingu,BR,79.02,clear sky,-6.6447,-51.995,Rio Xingu Camping
98,Ugoofaaru,MV,81.59,overcast clouds,5.6667,73.0,Ungoofaaru Inn
105,Atuona,PF,77.67,clear sky,-9.8,-139.0333,Villa Enata
106,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
110,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
115,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
117,Torbay,CA,81.37,broken clouds,47.6666,-52.7314,Gallows Cove
118,Nouadhibou,MR,76.98,scattered clouds,20.931,-17.0347,El Medina
119,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
127,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
134,Victoria,HK,86.38,broken clouds,22.2855,114.1577,Mini Central
137,Totness,SR,79.36,clear sky,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
138,Kavieng,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
142,Sao Filipe,CV,75.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
143,Black River,JM,87.62,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
145,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
