City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Portland,US,45.5234,-122.6762,77.63,57,75,8.05,broken clouds
1,Busselton,AU,-33.65,115.3333,59.58,80,67,20.83,broken clouds
2,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,88,75,5.75,broken clouds
3,Ayagoz,KZ,47.9714,80.4392,65.35,36,100,11.52,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,33.48,96,15,2.91,few clouds
5,Vardo,NO,70.3705,31.1107,51.78,87,75,4.61,broken clouds
6,Aklavik,CA,68.2191,-135.0107,73.4,49,75,3.44,shower rain
7,Rikitea,PF,-23.1203,-134.9692,72.18,76,100,9.66,overcast clouds
8,Hobart,AU,-42.8794,147.3294,50.25,88,75,4.61,broken clouds
9,Saint Paul,US,44.9444,-93.0933,95.65,37,20,13.8,few clouds
10,Koroni,GR,36.8,21.95,82.08,64,0,5.08,clear sky
11,Kaeo,NZ,-35.1,173.7833,51.33,93,85,12.06,overcast clouds
12,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,5.75,broken clouds
13,Albany,US,42.6001,-73.9662,90.45,47,36,12.06,scattered clouds
14,Dikson,RU,73.5069,80.5464,51.19,79,80,13.8,broken clouds
15,Mount Gambier,AU,-37.8333,140.7667,50.95,97,100,8.7,light rain
16,Barrow,US,71.2906,-156.7887,41.02,87,100,11.5,mist
17,Puerto Ayora,EC,-0.7393,-90.3518,80.56,85,49,5.99,scattered clouds
18,Port Elizabeth,ZA,-33.918,25.5701,59.31,78,0,10.36,clear sky
19,Ancud,CL,-41.8697,-73.8203,41.23,97,100,17.85,moderate rain
20,Tawang,IN,27.5833,91.8667,55.78,95,100,1.39,light rain
21,Kahului,US,20.8947,-156.47,87.82,59,20,19.57,few clouds
22,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,12.66,clear sky
23,Alofi,NU,-19.0595,-169.9187,78.69,78,100,5.75,overcast clouds
24,Strangnas,SE,59.3774,17.0312,64.29,95,100,8.9,overcast clouds
25,Adrar,MR,20.5022,-10.0711,93.31,37,38,8.37,light rain
26,Port Macquarie,AU,-31.4333,152.9167,53.89,81,50,11.05,scattered clouds
27,Port Alfred,ZA,-33.5906,26.891,63.5,64,100,10.0,overcast clouds
28,Paragould,US,36.0584,-90.4973,98.85,51,15,6.2,few clouds
29,Kropotkin,RU,45.4375,40.5756,65.35,76,13,14.43,few clouds
30,Dhule,IN,20.9,74.7833,76.64,84,100,3.29,overcast clouds
31,Carnarvon,AU,-24.8667,113.6333,62.44,66,0,11.14,clear sky
32,Hilo,US,19.7297,-155.09,87.28,85,100,6.91,overcast clouds
33,Rive-De-Gier,FR,45.5307,4.6213,78.73,84,75,4.18,broken clouds
34,Gijon,ES,43.5357,-5.6615,66.83,87,100,3.0,overcast clouds
35,Kodiak,US,57.79,-152.4072,54.91,62,100,8.05,overcast clouds
36,Port Hardy,CA,50.6996,-127.4199,64.58,63,75,9.22,broken clouds
37,Hithadhoo,MV,-0.6,73.0833,81.72,73,100,7.78,overcast clouds
38,Melenci,RS,45.5139,20.3172,76.73,25,0,0.43,clear sky
39,Bredasdorp,ZA,-34.5322,20.0403,55.27,86,100,10.04,light rain
40,Tuktoyaktuk,CA,69.4541,-133.0374,73.4,53,75,8.05,broken clouds
41,Takoradi,GH,4.8845,-1.7554,74.52,81,74,8.39,broken clouds
42,Nanortalik,GL,60.1432,-45.2371,48.79,79,22,3.58,few clouds
43,Ushuaia,AR,-54.8,-68.3,33.46,93,100,16.11,overcast clouds
44,Souillac,MU,-20.5167,57.5167,66.58,88,75,6.91,broken clouds
45,Tamandare,BR,-8.7597,-35.1047,74.86,85,99,8.14,overcast clouds
