City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Carreno,CO,2022-07-20 19:47:22,6.189,-67.4859,87.78,66,75,3.44
1,Yarim,YE,2022-07-20 19:47:23,14.298,44.3779,56.17,77,100,3.38
2,Ostrovnoy,RU,2022-07-20 19:47:23,68.0531,39.5131,47.68,96,24,5.08
3,Mugur-Aksy,RU,2022-07-20 19:47:24,50.35,90.5,44.47,75,34,2.26
4,Vaini,TO,2022-07-20 19:47:24,-21.2,-175.2,73.56,88,40,5.75
5,Faanui,PF,2022-07-20 19:47:24,-16.4833,-151.75,77.76,66,0,10.36
6,Bethel,US,2022-07-20 19:47:25,41.3712,-73.414,98.02,50,40,6.91
7,Bluff,NZ,2022-07-20 19:45:25,-46.6,168.3333,39.79,65,100,7.16
8,Hobart,AU,2022-07-20 19:47:25,-42.8794,147.3294,34.27,94,1,5.75
9,Carnarvon,AU,2022-07-20 19:47:26,-24.8667,113.6333,70.56,78,0,15.64
10,Kapaa,US,2022-07-20 19:44:04,22.0752,-159.319,82.38,76,20,12.66
11,Butaritari,KI,2022-07-20 19:47:26,3.0707,172.7902,81.28,79,45,9.66
12,Guatire,VE,2022-07-20 19:47:27,10.4762,-66.5427,77.04,94,92,1.14
13,Betare Oya,CM,2022-07-20 19:47:28,5.6,14.0833,67.84,98,100,2.55
14,Ternate,ID,2022-07-20 19:47:28,0.8,127.4,80.08,81,100,1.95
15,Port Alfred,ZA,2022-07-20 19:46:25,-33.5906,26.891,56.17,97,100,1.01
16,Touros,BR,2022-07-20 19:47:29,-5.1989,-35.4608,77.16,78,98,13.73
17,Zeya,RU,2022-07-20 19:47:29,53.75,127.2667,58.23,94,82,2.21
18,Abadan,IR,2022-07-20 19:47:29,30.3392,48.3043,96.75,49,0,0.0
19,Albany,US,2022-07-20 19:44:06,42.6001,-73.9662,96.78,43,46,1.99
20,Laguna,US,2022-07-20 19:47:30,38.421,-121.4238,100.02,30,0,4.61
21,Hasaki,JP,2022-07-20 19:47:30,35.7333,140.8333,75.6,84,99,8.41
22,Hermanus,ZA,2022-07-20 19:44:13,-34.4187,19.2345,42.8,68,1,4.41
23,Paungde,MM,2022-07-20 19:47:31,18.4833,95.5,79.23,91,100,4.43
24,East London,ZA,2022-07-20 19:47:31,-33.0153,27.9116,62.58,82,93,4.83
25,Puerto Ayora,EC,2022-07-20 19:47:32,-0.7393,-90.3518,76.96,96,88,8.01
26,New Norfolk,AU,2022-07-20 19:47:32,-42.7826,147.0587,33.93,89,5,2.33
27,Igrim,RU,2022-07-20 19:47:33,63.1906,64.4162,62.67,55,75,9.48
28,Samarai,PG,2022-07-20 19:47:33,-10.6167,150.6667,79.9,81,20,9.71
29,Grindavik,IS,2022-07-20 19:47:34,63.8424,-22.4338,53.55,87,75,18.41
30,Arraial Do Cabo,BR,2022-07-20 19:45:10,-22.9661,-42.0278,75.16,83,75,10.36
31,Mount Isa,AU,2022-07-20 19:45:22,-20.7333,139.5,51.57,40,0,0.0
32,Geraldton,AU,2022-07-20 19:47:35,-28.7667,114.6,68.41,88,75,19.57
33,Fairbanks,US,2022-07-20 19:47:35,64.8378,-147.7164,63.09,65,75,5.75
34,Sao Filipe,CV,2022-07-20 19:47:35,14.8961,-24.4956,76.53,88,83,5.06
35,Qaanaaq,GL,2022-07-20 19:45:20,77.484,-69.3632,41.13,81,100,4.34
36,Talnakh,RU,2022-07-20 19:45:13,69.4865,88.3972,52.21,69,100,4.56
37,Hofn,IS,2022-07-20 19:47:36,64.2539,-15.2082,52.63,73,100,7.09
38,Bilma,NE,2022-07-20 19:47:37,18.6853,12.9164,95.94,13,72,6.49
39,Rikitea,PF,2022-07-20 19:47:37,-23.1203,-134.9692,73.36,75,0,2.04
40,Hilo,US,2022-07-20 19:47:37,19.7297,-155.09,81.28,95,100,5.99
41,Verkhoyansk,RU,2022-07-20 19:47:38,67.5447,133.385,46.11,73,98,4.25
42,Banes,CU,2022-07-20 19:47:38,20.9625,-75.7186,86.23,63,82,15.84
43,Adrar,MR,2022-07-20 19:47:39,20.5022,-10.0711,97.3,17,10,10.92
44,Itoman,JP,2022-07-20 19:47:39,26.1247,127.6694,84.22,89,98,9.22
45,Saint-Philippe,RE,2022-07-20 19:47:39,-21.3585,55.7679,65.79,79,42,14.52
46,Dikson,RU,2022-07-20 19:48:40,73.5069,80.5464,42.37,72,9,23.35
47,Chokurdakh,RU,2022-07-20 19:48:40,70.6333,147.9167,42.4,74,83,8.88
48,Airai,TL,2022-07-20 19:48:41,-8.9266,125.4092,56.7,94,84,3.53
49,Nabire,ID,2022-07-20 19:48:41,-3.3667,135.4833,73.27,93,87,3.96
50,Mataura,NZ,2022-07-20 19:45:16,-46.1927,168.8643,39.47,92,100,1.95
51,Ushuaia,AR,2022-07-20 19:43:42,-54.8,-68.3,33.42,93,100,18.41
52,Lagoa,PT,2022-07-20 19:48:42,39.05,-27.9833,72.45,77,6,4.32
53,Derzhavinsk,KZ,2022-07-20 19:46:31,51.1,66.3167,72.21,55,100,7.09
54,Bambous Virieux,MU,2022-07-20 19:48:42,-20.3428,57.7575,71.85,60,40,18.41
55,Jamestown,US,2022-07-20 19:43:58,42.097,-79.2353,88.02,51,40,17.27
56,Nokaneng,BW,2022-07-20 19:48:43,-19.6667,22.2667,58.77,35,20,6.53
57,Hithadhoo,MV,2022-07-20 19:48:43,-0.6,73.0833,80.64,69,100,1.43
58,Nikki,BJ,2022-07-20 19:48:44,9.9401,3.2108,74.88,75,100,4.21
59,Varangaon,IN,2022-07-20 19:48:44,21.0167,75.9,76.93,87,100,10.76
60,Yatou,CN,2022-07-20 19:48:45,37.15,122.3833,70.57,91,92,6.87
61,Saint Anthony,US,2022-07-20 19:45:35,45.0205,-93.218,89.15,39,0,28.77
62,Barrow,US,2022-07-20 19:47:47,71.2906,-156.7887,51.82,62,0,4.61
63,Brae,GB,2022-07-20 19:48:45,60.3964,-1.353,55.83,88,96,11.3
64,Mantang,PH,2022-07-20 19:48:46,11.87,125.4283,80.13,84,57,2.93
65,Collie,AU,2022-07-20 19:48:46,-33.3667,116.15,54.25,97,100,6.67
66,Souillac,MU,2022-07-20 19:48:47,-20.5167,57.5167,71.98,60,40,18.41
67,Khatanga,RU,2022-07-20 19:48:47,71.9667,102.5,45.64,65,100,21.32
68,Busselton,AU,2022-07-20 19:48:48,-33.65,115.3333,55.51,95,100,15.79
69,Bonavista,CA,2022-07-20 19:45:12,48.6499,-53.1147,63.41,83,100,21.56
70,Orel-Izumrud,RU,2022-07-20 19:48:48,43.4583,39.9244,69.82,88,40,2.24
71,Alofi,NU,2022-07-20 19:46:34,-19.0595,-169.9187,73.29,83,3,8.05
72,Usinsk,RU,2022-07-20 19:48:49,65.9939,57.5281,62.71,60,26,8.34
73,Umm Lajj,SA,2022-07-20 19:48:49,25.0213,37.2685,88.72,54,6,6.8
74,Cape Town,ZA,2022-07-20 19:48:37,-33.9258,18.4232,53.11,63,0,6.91
75,Norman Wells,CA,2022-07-20 19:48:50,65.282,-126.8329,71.64,37,75,2.3
76,Port Hedland,AU,2022-07-20 19:48:50,-20.3167,118.5667,55.45,76,0,6.91
77,Bilibino,RU,2022-07-20 19:48:51,68.0546,166.4372,44.58,71,96,3.04
78,Mitsamiouli,KM,2022-07-20 19:48:51,-11.3847,43.2844,75.92,68,0,11.43
79,Ziyang,CN,2022-07-20 19:48:52,29.2497,117.8547,79.11,93,100,0.29
80,Fortuna,US,2022-07-20 19:46:45,40.5982,-124.1573,68.94,74,36,4.0
81,Kruisfontein,ZA,2022-07-20 19:48:52,-34.0033,24.7314,54.88,91,94,3.56
82,Lompoc,US,2022-07-20 19:48:53,34.6391,-120.4579,93.69,66,0,11.5
83,Severo-Kurilsk,RU,2022-07-20 19:45:32,50.6789,156.125,51.69,97,100,12.91
84,Alyangula,AU,2022-07-20 19:48:53,-13.8483,136.4192,67.71,82,13,9.66
85,Saint-Pierre,RE,2022-07-20 19:48:54,-21.3393,55.4781,65.88,59,0,4.61
86,Mizdah,LY,2022-07-20 19:48:54,31.4451,12.9801,79.5,46,18,16.82
87,Mosquera,CO,2022-07-20 19:48:54,4.7059,-74.2302,62.69,59,40,13.8
88,Pomabamba,PE,2022-07-20 19:48:55,-8.8333,-77.4667,62.42,30,13,5.84
89,Katsuura,JP,2022-07-20 19:48:55,35.1333,140.3,76.8,83,80,7.81
90,Russell,US,2022-07-20 19:45:41,32.3502,-85.1999,94.28,43,54,4.25
91,Punta Arenas,CL,2022-07-20 19:48:35,-53.15,-70.9167,35.71,75,75,24.16
92,Nome,US,2022-07-20 19:48:56,64.5011,-165.4064,48.27,82,100,18.41
93,Chipata,ZM,2022-07-20 19:49:56,-13.6333,32.65,64.13,50,72,6.87
94,Thompson,CA,2022-07-20 19:45:23,55.7435,-97.8558,71.76,60,40,12.66
95,Sorong,ID,2022-07-20 19:49:57,-0.8833,131.25,77.54,89,100,7.0
96,Lanxi,CN,2022-07-20 19:49:57,29.2195,119.477,80.2,82,100,2.08
97,Ambon,ID,2022-07-20 19:49:58,-3.6954,128.1814,77.23,15,30,11.88
98,Ziro,IN,2022-07-20 19:49:58,27.6333,93.8333,60.55,99,99,1.36
99,Lavrentiya,RU,2022-07-20 19:49:59,65.5833,-171.0,40.08,96,100,15.05
100,San Francisco,US,2022-07-20 19:49:59,37.7749,-122.4194,90.03,74,20,17.27
101,Santo Angelo,BR,2022-07-20 19:49:59,-28.2992,-54.2631,73.72,83,6,6.15
102,Tiksi,RU,2022-07-20 19:50:00,71.6872,128.8694,37.45,92,91,16.4
103,San Cristobal,VE,2022-07-20 19:48:48,7.7669,-72.225,77.18,57,62,6.4
104,Ribeira Grande,PT,2022-07-20 19:50:00,38.5167,-28.7,75.6,78,20,9.22
105,Tual,ID,2022-07-20 19:50:01,-5.6667,132.75,78.64,77,100,18.01
106,Abu Samrah,SY,2022-07-20 19:50:02,35.3029,37.1841,80.2,44,0,12.35
107,Clyde River,CA,2022-07-20 19:50:02,70.4692,-68.5914,39.43,100,100,8.05
108,Esperance,AU,2022-07-20 19:45:18,-33.8667,121.9,61.63,51,100,17.31
109,Nuuk,GL,2022-07-20 19:50:03,64.1835,-51.7216,47.88,93,100,23.0
110,Yellowknife,CA,2022-07-20 19:50:03,62.456,-114.3525,64.92,55,75,13.8
111,Atuona,PF,2022-07-20 19:50:04,-9.8,-139.0333,77.81,74,4,15.75
112,Zitiste,RS,2022-07-20 19:50:04,45.485,20.5497,77.4,28,2,4.05
113,Coquimbo,CL,2022-07-20 19:48:18,-29.9533,-71.3436,53.33,93,100,3.44
114,Beisfjord,NO,2022-07-20 19:50:05,68.3751,17.5988,60.85,74,99,3.8
115,Tura,IN,2022-07-20 19:50:05,25.5198,90.2201,74.73,97,100,5.48
116,Viedma,AR,2022-07-20 19:50:06,-40.8135,-62.9967,65.55,38,95,26.71
117,Owando,CG,2022-07-20 19:50:06,-0.4819,15.8999,77.34,69,86,2.82
118,Sierpc,PL,2022-07-20 19:50:06,52.8568,19.6691,74.95,61,0,8.37
119,Kodiak,US,2022-07-20 19:50:07,57.79,-152.4072,54.91,76,100,4.61
120,Galiakot,IN,2022-07-20 19:50:07,23.5167,74.0,80.47,85,100,11.92
121,Namatanai,PG,2022-07-20 19:50:08,-3.6667,152.4333,77.85,81,92,6.89
122,Cherskiy,RU,2022-07-20 19:46:45,68.75,161.3,40.3,72,26,12.95
123,Port Blair,IN,2022-07-20 19:50:08,11.6667,92.75,78.84,94,100,3.44
124,Alcudia,ES,2022-07-20 19:47:26,39.8532,3.1214,84.25,70,0,5.32
125,Tabora,TZ,2022-07-20 19:50:09,-5.0167,32.8,68.97,39,0,8.5
126,Upernavik,GL,2022-07-20 19:50:09,72.7868,-56.1549,48.2,70,73,9.91
127,Snihurivka,UA,2022-07-20 19:50:10,47.0758,32.8052,70.86,48,14,7.05
128,Mar Del Plata,AR,2022-07-20 19:47:02,-38.0023,-57.5575,64.42,48,0,17.27
129,Mananjary,MG,2022-07-20 19:50:11,-21.2167,48.3333,66.65,87,75,5.99
130,Chuy,UY,2022-07-20 19:50:11,-33.6971,-53.4616,59.27,88,0,7.58
131,Rocha,UY,2022-07-20 19:50:12,-34.4833,-54.3333,59.63,80,1,9.62
132,Chimbote,PE,2022-07-20 19:50:12,-9.0853,-78.5783,66.65,70,14,10.2
133,Ust-Nera,RU,2022-07-20 19:50:12,64.5667,143.2,56.3,77,99,9.08
134,Zyryanka,RU,2022-07-20 19:50:13,65.75,150.85,45.99,69,100,8.9
135,Divinopolis,BR,2022-07-20 19:50:13,-20.1389,-44.8839,79.38,37,12,9.8
136,Tebingtinggi,ID,2022-07-20 19:50:14,3.3285,99.1625,74.5,96,100,1.88
137,Krasnyy Kholm,RU,2022-07-20 19:51:14,58.0607,37.1203,56.14,99,100,6.44
138,San Patricio,US,2022-07-20 19:51:14,28.017,-97.5169,97.52,44,1,20.62
139,Kaeo,NZ,2022-07-20 19:51:15,-35.1,173.7833,51.31,85,17,12.03
140,Havre-Saint-Pierre,CA,2022-07-20 19:50:05,50.2334,-63.5986,75.56,57,100,16.11
141,Launceston,AU,2022-07-20 19:51:15,-41.45,147.1667,42.44,87,100,4.61
142,Bengkulu,ID,2022-07-20 19:47:40,-3.8004,102.2655,76.05,90,74,2.57
143,Concepcion Del Uruguay,AR,2022-07-20 19:51:16,-32.4825,-58.2372,69.26,77,98,5.01
144,Lorengau,PG,2022-07-20 19:51:17,-2.0226,147.2712,79.2,80,97,3.71
145,Englewood,US,2022-07-20 19:47:12,39.6478,-104.9878,93.7,29,75,9.22
146,Bredasdorp,ZA,2022-07-20 19:51:17,-34.5322,20.0403,46.6,86,1,5.19
147,Najran,SA,2022-07-20 19:51:18,17.4924,44.1277,92.05,38,100,8.7
148,Muyezerskiy,RU,2022-07-20 19:51:18,63.9333,31.65,60.96,90,100,6.08
149,Bendigo,AU,2022-07-20 19:51:19,-36.7667,144.2833,41.65,63,23,5.44
150,Karwar,IN,2022-07-20 19:51:19,14.8,74.1333,77.54,87,68,10.22
151,Puerto Del Rosario,ES,2022-07-20 19:51:20,28.5004,-13.8627,78.55,73,5,11.5
152,Hambantota,LK,2022-07-20 19:51:20,6.1241,81.1185,78.57,85,97,18.45
153,Amazar,RU,2022-07-20 19:51:21,53.858,120.875,58.57,96,15,1.86
154,Constitucion,CL,2022-07-20 19:50:42,-35.3333,-72.4167,57.38,77,7,12.1
155,Kondinskoye,RU,2022-07-20 19:51:21,59.6481,67.41,59.74,95,100,4.34
156,Saint George,US,2022-07-20 19:49:08,37.1041,-113.5841,106.79,18,0,6.91
157,Ponta Do Sol,PT,2022-07-20 19:51:22,32.6667,-17.1,75.7,79,4,5.95
158,Tuktoyaktuk,CA,2022-07-20 19:51:22,69.4541,-133.0374,55.4,82,100,12.66
159,San Policarpo,PH,2022-07-20 19:51:23,12.1791,125.5072,82.36,79,85,5.97
160,Castro,BR,2022-07-20 19:51:23,-24.7911,-50.0119,67.8,73,3,3.87
161,Lebu,CL,2022-07-20 19:48:48,-37.6167,-73.65,53.58,95,100,11.21
162,North Platte,US,2022-07-20 19:51:24,41.1239,-100.7654,93.11,29,0,5.75
163,Tabuny,RU,2022-07-20 19:51:24,52.7773,78.7896,63.18,84,100,10.92
